Team,Country,NameF,NameL,Weight,Height,DOB,Hometown,Prov,Pos,Age,HeightFt,HtIn,BMI
Women,Canada,Meghan,Agosta,148,5'7,2/12/1987,Ruthven,Ont.,Forward,35,5.58,67.00,23
Women,Canada,Rebecca,Johnston,148,5'9,9/24/1989,Sudbury,Ont.,Forward,32,5.75,69.00,22
Women,Canada,Laura,Stacey,156,5'10,5/5/1994,Kleinburg,Ont.,Forward,28,5.83,70.00,22
Women,Canada,Jennifer,Wakefield,172,5'10,6/15/1989,Pickering,Ont.,Forward,33,5.83,70.00,25
Women,Canada,Jillian,Saulnier,144,5'5,3/7/1992,Halifax,N.S.,Forward,30,5.42,65.00,24
Women,Canada,Mélodie,Daoust,159,5'6,1/7/1992,Valleyfield,Que.,Forward,30,5.50,66.00,26
Women,Canada,Bailey,Bram,150,5'8,9/5/1990,St. Anne,Man.,Forward,31,5.67,68.00,23
Women,Canada,Brianne,Jenner,156,5'9,5/4/1991,Oakville,Ont.,Forward,31,5.75,69.00,23
Women,Canada,Sarah,Nurse,140,5'8,1/4/1995,Hamilton,Ont.,Forward,27,5.67,68.00,21
Women,Canada,Haley,Irwin,170,5'7,6/6/1988,Thunder Bay,Ont.,Forward,34,5.58,67.00,27
Women,Canada,Natalie,Spooner,180,5'10,10/17/1990,Scarborough,Ont.,Forward,31,5.83,70.00,26
Women,Canada,Emily,Clark,130,5'7,11/28/1995,Saskatoon,Sask.,Forward,26,5.58,67.00,20
Women,Canada,Marie-Philip,Poulin,160,5'7,3/28/1991,Beauceville,Que.,Forward,31,5.58,67.00,25
Women,Canada,Blayre,Turnbull,155,5'7,7/15/1993,Stellarton,N.S.,Forward,29,5.58,67.00,24
Women,Canada,Jocelyne,Larocque,139,5'6,5/19/1988,Ste. Anne,Man.,Defence,34,5.50,66.00,22
Women,Canada,Brigette,Lacquette,180,5'6,10/11/1992,Mallard,Man.,Defence,29,5.50,66.00,29
Women,Canada,Lauriane,Rougeau,167,5'8,4/12/1990,Beaconsfield,Que.,Defence,32,5.67,68.00,25
Women,Canada,Laura,Fortino,137,5'4,1/30/1991,Hamilton,Ont.,Defence,31,5.33,64.00,24
Women,Canada,Meaghan,Mikkelson,139,5'9,1/4/1985,St. Albert,Alta.,Defence,37,5.75,69.00,21
Women,Canada,Renata,Fast,144,5'6,10/6/1994,Burlington,Ont.,Defence,27,5.50,66.00,23
Women,Canada,Shannon,Szabados,146,5'8,8/6/1986,Edmonton,Alta.,Goalie,36,5.67,68.00,22
Women,Canada,Geneviève,Lacasse,136,5'8,5/5/1989,Kingston,Ont.,Goalie,33,5.67,68.00,21
Women,Canada,Ann-Renée,Desbiens,160,5'9,4/10/1994,La Malbaie,Que.,Goalie,28,5.75,69.00,24
Women,USA,Cayla,Barnes,145,5'1,1/7/1999,Eastvale,Calif.,Defence,23,5.08,61.00,27
Women,USA,Kacey,Bellamy,145,5'7,4/22/1987,Westfield,Mass.,Defence,35,5.58,67.00,23
Women,USA,Hannah,Brandt,150,5'6,11/27/1993,Vadnais Heights,Minn.,Forward,28,5.50,66.00,24
Women,USA,Dani,Cameranesi,148,5'5,6/30/1995,Plymouth,Minn.,Forward,27,5.42,65.00,25
